Date / Time	City	State	Shape	Duration	Summary	Posted
12/29/14 19:45	Southington	CT	Fireball	1st. sighting @ approx.	(1)white-ish pink/(2)red-ish orange massive fireballs hovering over  Southington, Ct. Then darted across sky at a abnormal speed.	1/07/2015
12/29/14 19:30	York	PA	Circle	15 minutes	Lighted objects in the night over York, PA.	1/07/2015
12/29/14 19:30	Wilmington	CA	Other	30 seconds	Fireball seen by multiple adults,children in Wilmington, Ca.	1/07/2015
12/29/14 19:00	San Luis Obispo	CA	Fireball	4 seconds	Large white object with trailing fire. ((NUFORC Note: Multiple witnesses.  Possible bright meteor. PD))	1/07/2015
12/29/14 19:00	Saint Petersburg	FL	Oval	90 seconds	Red glowing orb like on fire in a clear oval shell moving low and silent.	1/07/2015
12/29/14 19:00	Moncton (Canada)	NB	Changing	20 minutes	Strange moving lights in sky..	1/07/2015
12/29/14 18:45	Beacon Falls	CT	Triangle	~10 seconds	((HOAX??)) Huge unidentifiable craft that looked like it was on fire in the  front end, clearly saw it disappear before our eyes.	1/07/2015
12/29/14 18:44	New York City (Bronx)	NY	Light	4 seconds	Bright green object speeding in the sky.	1/07/2015
12/29/14 18:32	Trumbull	CT	Fireball	2 seconds	Aqua fireball trailed by orange flames followed by white tail. Northeast to  northwest direction.	1/07/2015
12/29/14 18:30	Ballston Lake	NY	Circle	very brief	Two large very bright, circular, white lights appeared in a linear pattern  for a brief moment then disappeared.	1/07/2015
12/29/14 18:30	Yorktown	NY	Rectangle	5 seconds	I saw this object out of the side of my car and it was large with a big  neon green glow to it thne shortly after it disapears.	1/07/2015
12/29/14 18:00	Essex	CT	Fireball	30 seconds	Purple, green and white bright colors. Fast, like shooting star, but very  bright and very close.	1/07/2015
12/29/14 17:45	Bridgeport	CT	Changing	5 seconds	Two lights flying, separating and vanishing in midair.	1/07/2015
12/29/14 16:50	Keene	NH	Oval	2 minutes	Oval light over preserve in Keene, NH.	1/07/2015
12/29/14 15:00	Niles	MI	Sphere	~15 minutes	I was visiting my mom in Oak Manor on Monday 12/29/2014. While we were in  her back yard with are dogs after lunch I spotted 2 cylinder	1/07/2015
12/29/14 06:30	Philadelphia	PA	Triangle	5 minutes	Three lighted object in triangle shape.	1/07/2015
12/29/14 03:55	Ellicott City (outside of)	MD	Triangle	1 minute	Large triangle UFO seen on Interstate 95 in Maryland.	1/07/2015
12/29/14 02:30	Penacook	NH	Circle	2 seconds	Glowing, green orb falling vertically from the sky.	1/07/2015
12/29/14 02:00	Hamlake	MN	Light	1 hour	Seen bright light above the trees. ((NUFORC Note: Possible star?? PD))	1/07/2015
12/28/14 23:00	Las Cruces	NM	Triangle	5 minutes	((NUFORC Note: No information provided by witness. PD))	1/07/2015
12/28/14 21:31	Coldwater	MI	Light	10-15 minutes	6 red lights following each other, moving quickly.	1/07/2015
12/28/14 21:00	Westland	MI	Unknown	3+ hours	Light in sky for 3+ hours. ((NUFORC Note: Possible sighting of a  "twinkling" star, maybe Sirius. PD))	1/07/2015
12/28/14 20:58	Culver City	CA	Light	1 second	Singular red light.	1/07/2015
12/28/14 20:30	Salt Springs	FL	Circle	5-10 minutes	Amber or orange orb like with a little flash sometimes along the way South  to North direction for five to ten minutes then I went back	1/07/2015
12/28/14 20:10	Sun Prairie	WI	Fireball	>5 minutes	They looked like 6 flickering fire balls.	1/07/2015
12/28/14 19:50	Sanford	FL	Circle	10 minutes	Circular objects with flashing red and white lights fluttering in the sky.	1/07/2015
12/28/14 19:45	Kanata (Canada)	ON	Fireball	8 minutes	More than a dozen round fiery orange objects floating quietly by in the  night sky.	1/07/2015
12/28/14 19:10	Salem	UT	Light	5-10 minutes	3 orange lights over Salem, Utah.	1/07/2015
12/28/14 18:25	Sarasota	FL	Fireball	2	Orange fireball heading north from Sarasota.	1/07/2015
12/28/14 18:12	Portland	ME	Fireball	5 minutea	My cousin and I were having a cigarette on here porch. Happened to look up  in the sky ,first we seen the orange orb. It was going towar	1/07/2015
12/28/14 18:00	Campo Grande (Brazil)		Fireball	15 minutes	http://g1.globo.com/mato-grosso-do-sul/noticia/2014/12/policia-de-ms-aciona-aeronautica-sobre-objeto-que-apareceu-em-sitio.html	1/07/2015
12/28/14 17:09	UK/Scotland		Light	12 minutes	A star like light moves at high speed across the sky, with rotating colored  lights.	1/07/2015
12/28/14 16:45	Effingham	IL	Sphere	15 minutes	Watched all 3 travel together then 1 hover while the other 2 appeared and  disappear.They were all white and at times looked comet like.	1/07/2015
12/28/14 13:00	Menifee	CA	Other	15 minutes	UFO sighting near Menifee, CA.	1/07/2015
12/28/14 12:10	Bonsall	CA	Cigar	2 minutes	Coming down Hwy 76 i notice a totally 'black' cigar shaped object in the  sky and not far away and not that high up in the sky.	1/07/2015
12/28/14 11:55	Colleyville	TX	Other	12:00	DFW airport area, round object sighted much faster, smaller, shinier and  higher than commercial jets in vicinity.	1/07/2015
12/28/14 11:50	Bellevue	WA	Light	3 minutes	Weird purple cloud at night.	1/07/2015
12/27/14 22:00	Montreal (Canada)	QC	Sphere	2 seconds	Small red sphere seen by two people. Uncloaked and shot out into outer  space.	1/07/2015
12/27/14 21:55	Carmel	NY	Triangle	8	2 red triangles flying close to the ground making no noise over Carmel	1/07/2015
12/27/14 21:30	Raleigh	NC	Light	20	A white light that zig zags in one area of the sky.	1/07/2015
12/27/14 21:30	Reddinton Beach	FL	Fireball	10 minutes	Saw a total of 5 fire balls, 3 were in a horizontal line	1/07/2015
12/27/14 21:00	Reno	NV	Disk	3 minutes	Blue ring with red blinking dots inside caught on video moving in the sky  in irregular patterns.	1/07/2015
12/27/14 20:45	Nazareth	PA	Formation	5 minutes	Three, solid, orange lights under the cloud ceiling. The second and third  lights (the two farthest from me) appeared to have three or f	1/07/2015
12/27/14 20:30	Mentor	OH	Formation	2 minutes	Five red lights in flying in formation Mentor, Ohio December 27, 2014	1/07/2015
12/27/14 20:30	Fayetteville	NC	Fireball	10 seconds	Bright blue light falling from the sky	1/07/2015
12/27/14 20:00	Millbrook	NY	Disk	3 hours	Blinking, waivering aircraft that shoot off and disappear,	1/07/2015
12/27/14 19:45	Pearland	TX	Sphere	3 seconds	An intensive white light flash on residential road, non UFO or trajectory.	1/07/2015
